country.x,dataset_key.x,dataset_party_id.x,name_short.x,name_english.x,year_first.x,year_last.x,share.x,share_year.x,partyfacts_id,country.y,dataset_key.y,dataset_party_id.y,name_short.y,name_english.y,year_first.y,year_last.y,share.y,share_year.y
JPN,vparty,3,JSP/SDP,Japan Socialist Party / Social Democratic Party,1946,2005,33.1,1958,3,JPN,cses,3920006,SDP,Social Democratic Party,1996,1996,6.8,1996
IRL,vparty,4,SF,Sinn Fein (Provisional),2002,2016,13.9,2016,4,IRL,cses,3720004,SF,Sinn Fein,2002,2011,,
CHL,vparty,6,PS,Socialist Party of Chile,1932,2017,18.9,1941,6,CHL,cses,1520004,PS,Socialist Party,2005,2009,20,2005
CHE,vparty,29,SP,Social Democratic Party of Switzerland,1902,2019,30.8,1917,29,CHE,cses,7560002,SP / PS,Social Democratic Party,1999,2011,31.4,2003
BEL,vparty,36,N-VA,New Flemish Alliance,2010,2019,20.3,2014,36,BEL,cses,560001,N-VA,New Flemish Alliance,2003,2003,2.4,2003
NLD,vparty,45,D66,Democrats 66,1971,2017,15.5,1994,45,NLD,cses,5280004,D66,Democrats 66,1998,2010,11.7,1998
GRC,vparty,48,KKE,Communist Party of Greece,1974,2019,10.9,1981,48,GRC,cses,3000004,KKE,Communist Party of Greece,2009,2015,7.3,2009
BEL,vparty,49,PVV-OVLD,Party of Liberty and Progress -- Open Flemish Liberals and Democrats,1971,2019,15.4,2003,49,BEL,cses,560004,VLD,Flemish Liberals and Democrats,1999,2003,13.2,2003
DNK,vparty,53,KrF/KD,Christian People's Party / Christian Democrats,1975,1975,5.3,1975,53,DNK,cses,2080008,KD,Christian Democrats,1998,2007,2.2,1998
CHL,vparty,54,PPD,Party for Democracy,1989,2017,15.4,2005,54,CHL,cses,1520005,PPD,Party for Democracy,2005,2009,17.9,2005
POL,vparty,57,SLD,Democratic Left Alliance,1991,2019,41,2001,57,POL,cses,6160009,SLD,Democratic Left Alliance,1997,2011,25.4,1997
SVK,vparty,63,KDH,Christian Democratic Movement,1994,2012,10.1,1994,63,SVK,cses,7030004,KDH,Christian Democratic Movement,2010,2016,10.4,2010
LTU,vparty,64,LSDP,Lithuanian Social Democratic Party,1920,2016,20.6,2004,64,LTU,cses,4400003,LSDP,Social Democratic Party,1997,1997,,
LTU,vparty,738,LSDP,Lithuanian Social Democratic Party,1990,2000,13.5,2000,64,LTU,cses,4400003,LSDP,Social Democratic Party,1997,1997,,
HRV,vparty,72,HSS,Croatian Peasant Party,1995,2016,11.3,2000,72,HRV,cses,1910007,HSS,Croatian Peasant Party,2007,2007,,
